연번,공원명,공원개요,조경/기반시설,운동시설,편의/교양시설,기타시설,이미지,공원주소,전화번호,X좌표(WGS84),Y좌표(WGS84),바로가기
1,남산공원,남산공원은 도심에 위치하여 서울시민에게 맑은 공기를 제공하는 자연휴식처이며 산책 꽃구경 공연관람 서울타워 남산케이블카 이용 등 다양한 활동이 가능한 대표적 휴식 여가 생활의 중심지입니다.,"광장, 도로, 산책로, 연못, 파고라, 분수대, 그늘시렁 ","테니스장, 야구장, 궁도장, 배드민턴장 ","도서관, 야외식물원, 안중근의사 기념관, 주차장, 매점, 음수대, 팔각정, 화장실, 벤치, 타워전망대 ",순환도로 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1884,서울특별시 중구 삼일대로 231(예장동),02-3783-5900,126.9903773,37.5501402,http://parks.seoul.go.kr/template/sub/namsan.do
2,길동생태공원,길동생태공원은 생물의 서식처를 제공하고 종다양성을 증진시키며 자연생태계의 생물들을 관찰 체험할 수 있도록 하여 시민들에게 건강한 생태공간을 제공하고 환경의 중요성을 일깨워주기 위한 공간입니다.,목재데크 ,-,"생태문화센터, 탐방객안내센터, 반딧불이 체험관, 조류관찰대 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1885,서울특별시 강동구 천호대로 1291(길동생태공원) ,02-472-2770/ 02-489-2770,127.1547791,37.5403935,http://parks.seoul.go.kr/template/sub/gildong.do
3,서울대공원,"서울대공원은 세계 각국의 야생동물들이 살아 숨 쉬는 서울동물원과 다양한 기후대의 식물들이 모여 사는 서울대공원 식물원, 자연과 사람의 특별한 이야기가 있는 테마가든, 자연 속에서의 휴식과 치유함이 있는 치유의 숲, 산림욕장, 캠핑장, 누구나 쉽게 즐기는 가족친화형 생활야구장 서울대공원 야구장, 다양한 재미와 즐거움을 주는 서울랜드, 원더파크, 플레이월드 근?현대 미술계의 흐름을 한눈에 볼 수 있는 국립현대미술관으로 구성되어 있으며, 많은 시민들의 추억과 사랑을 한 몸에 받고 있는 대한민국 대표 종합 테마파크입니다","치유숲, 산림욕장 ",-,"동물원, 식물원, 테마가든(장미원, 어린이동물원, 피크닉장), 캠핑장, 국립현대미술관, 서울랜드, 플레이월드, 원더파크 ","코끼리열차, 스카이리프트 ",http://parks.seoul.go.kr/file/info/view.do?fIdx=1886,경기도 과천시 대공원광장로 102,02-500-7033,127.0198465,37.4264494,http://grandpark.seoul.go.kr/
4,서울숲,"서울숲은 한강과 중랑천이 만나고 한강-용산-남찬-청계천-서울숲-한강으로 연결되는 서울 도심을 가로지르는 녹지 축의 하나로서 중요한 역할을 하고 있으며, 자연과 함께 숨 쉬는 생명의 숲, 시민들이 함께 만든 참여의 숲, 숲과 문화가 어우러지는 서울의 대표적인 녹색쉼터입니다.","거울연못, 보행가교, 바람의언덕 ",-,"바닥분수, 군마상, 야외무대, 가족마당무대, 꽃사슴방사장, 곤충식물원 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1887,서울특별시 성동구 뚝섬로 273 (성수동1가) ,02-460-2905 ,127.0417982,37.5430717,http://parks.seoul.go.kr/template/sub/seoulforest.do
5,월드컵공원,월드컵공원은 서울의 서쪽에 위치하여 1978년부터 1993년까지 15년간 서울시민이 버린 쓰레기로 만들어진 2개의 거대한 산과 넓은 면적의 평매립지를 2002 월드컵 개최와 새 천년을 기념하기 위하여 난지도 쓰레기매립장을 안정화 공원화하면서 270만㎡의 면적의 대규모 환경?생태공원으로 대표 공원인 평화의공원을 비롯하여 하늘공원 노을공원 난지천공원난지한강공원의 5개 테마공원으로 조성되었습니다.  ,"평화의 공원, 유니세프광장, 평화광장, 난지연못, 별자리광장, 잔디광장, 평화의정원, 하늘공원, 초지, 바람의광장, 희망의숲 ","테니스장, 인조잔디축구장, 게이트볼장, 농구장, 배드민턴장, 다목적구장, 파크골프장 ","월드컵공원전시관, 휴게소, 화장실, 음수전, 야외전시장, 모험놀이터, 피크닉장, 주차장, 에너지제로하우스, 탐방객안내소, 전망대, 하늘계단, 하늘을 담는 그릇, 어린이놀이터, 매점, 관찰쉼터데크, 전망데크, 누에생태체험장, 노을캠핑장, 노을계단, 조각 작품, 반딧불이 관찰원, 커뮤니티센터, 난지창작스튜디오 ","풍력발전기, 달리기코스(난지순환길), 수림대 사면녹화, 지역난방공사 자원회수시설, 수소충전시설, 수소발전시설 ",http://parks.seoul.go.kr/file/info/view.do?fIdx=1888,서울특별시 마포구 하늘공원로 84(월드컵공원),02-300-5501,126.878907,37.571805,http://parks.seoul.go.kr/template/sub/worldcuppark.do
6,광화문시민열린마당,광화문 옛 육조거리가 있던 자리에 새롭게 탄생한 서울시민을 위한 쉼터 '시민열린마당' '시민열린마당'은 육조거리를 현대적으로 재현한 북동쪽의 육조마당과 남서쪽의 시민 휴식공간 그리고 중심부의 열린공간이 한 축으로 이어져 과거와 현재 미래가 어우러지는 화합의 공간을 조성하였습니다.  ,"육조상징벽, 전통담장, 열주, 화계, 열린마당, 육조마당, 휴게마당, 녹지대 ",-,"화강석의자, 주차장 ","광장등, 정원등, 투사등, 열주내장등 ",http://parks.seoul.go.kr/file/info/view.do?fIdx=1890,서울특별시 종로구 세종로 76-2,02-2148-2843,126.9780227,37.5750449,
7,진관근린공원(구파발폭포),1993. 09. 06 서울시장 방침(제1400호) 통일로변 인공폭포조성계획  1995. 05. 10 서울특별시고시 제1995-133호로 공원조성계획 결정 및 지적승인 구파발폭포 재조성 사업 추진 진행 중 [준공완료(예정): 2015. 12],폭포 ,-,야외무대 ,-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1891,서울특별시 은평구 진관동 393,02-351-8004,126.9192155,37.6370244,
8,중마루근린공원,서울시가 ‘공원녹지 확충 5개년 계획’ 에 의해 구 영등포시립병원(6동)을 이전한 후 조성한 공원으로 1997년 11월25일에 개원했다. 서울의 부도심인 영등포 지역의 상?공업 종사자 직장인 및 주민들이 휴식 및 여가를 즐길 수 있는 장소로 숲과 물을 도입하여 도심속의 오아시스와 같이 조성하였다.,"광장, 산책 등산로, 파고라, 연못, 그늘시렁 ",-,"의자, 휴지통, 음수대, 정자 ",공원등 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1893,서울특별시 영등포구 영등포동2가 222,02-2670-3760,126.9112668,37.519832,
9,응봉공원 (대현산배수지공원),"응봉은 옛날에는 하나의 줄기였으나 도시개발로 인해 응봉산, 대현산, 대현배수지, 금호산, 매봉산 5개로 나뉘어져 관리되고 있고, 서울시 동부공원여가센터에서 관리하는 대현산배수지공원은 배수지 상부에 조성된 공원으로 잔디광장, 걷기트랙, 테니스장, 게이트볼장 등 다양한 운동시설과 편의시설 설치되어 있어 많은 시민들이 즐겨찾습니다..",파고라 ,"잔디광장, 테니스장, 게이트볼장, 배드민턴장, 다목적경기장 ","음수대, 화장실 ",관리동 ,http://parks.seoul.go.kr/file/info/view.do?fIdx=1894,서울특별시 성동구 금호동1가 산1-72,02-2293-7646,127.0217653,37.5572281,
10,매화근린공원,공장 이적지 공원화 사업’의 일환으로 옛 성진 유리(주)공장 터에 사업비 6억 원을 들여 조성한 뒤 1998년 6월 18일 문을 열었다. 가양택지개발지구와 가깝고 면적은 총 1980㎡로 녹지 1197㎡ 산책로 783㎡가 조성되어 있다. 주요 시설물로는 유리를 소재로 한 상징 조형물이 있으며 팔각정자와 사각 파고라(그늘막) 음수전 등의자 평의자 등이 있다.,"상징조형물, 사각파고라 ",-,"팔각정자, 음수전 ",-,http://parks.seoul.go.kr/file/info/view.do?fIdx=1895,서울특별시 강서구 등촌동 630-14,02-2600-4181,126.86115,37.5575833,
